modality	feature	factor	loading
RNA-seq	ADIPOQ	Factor4	-0.016355
RNA-seq	ADIPOQ	Factor5	0.069564
RNA-seq	ADH1B	Factor1	-0.001501
RNA-seq	ADH1B	Factor2	-0.466037
RNA-seq	ADH1B	Factor3	0.030354
RNA-seq	ADH1B	Factor4	-0.020965
RNA-seq	ADH1B	Factor5	0.07178
RNA-seq	KRT14	Factor1	-0.55592
RNA-seq	KRT14	Factor2	-0.572358
RNA-seq	KRT14	Factor3	0.294944
RNA-seq	KRT14	Factor4	0.332818
RNA-seq	KRT14	Factor5	-0.142172
RNA-seq	GP2	Factor1	0.511291
RNA-seq	GP2	Factor2	-0.457954
RNA-seq	GP2	Factor3	-0.068158
RNA-seq	GP2	Factor4	-0.034039
RNA-seq	GP2	Factor5	-0.034374
RNA-seq	GRIA2	Factor1	0.268645
RNA-seq	GRIA2	Factor2	-0.148439
RNA-seq	GRIA2	Factor3	-0.322452
RNA-seq	GRIA2	Factor4	0.151839
RNA-seq	GRIA2	Factor5	-0.066277
RNA-seq	MYBPC1	Factor1	-0.239091
RNA-seq	MYBPC1	Factor2	-0.354934
RNA-seq	MYBPC1	Factor3	0.05737
RNA-seq	MYBPC1	Factor4	-0.149231
RNA-seq	MYBPC1	Factor5	0.034971
RNA-seq	CEACAM5	Factor1	0.444176
RNA-seq	CEACAM5	Factor2	-0.165265
RNA-seq	CEACAM5	Factor3	-0.079147
RNA-seq	CEACAM5	Factor4	-0.150051
RNA-seq	CEACAM5	Factor5	-0.093515
RNA-seq	TFF3	Factor1	0.681471
RNA-seq	TFF3	Factor2	-0.464809
RNA-seq	TFF3	Factor3	-0.014113
RNA-seq	TFF3	Factor4	-0.019101
RNA-seq	TFF3	Factor5	0.038246
RNA-seq	C1orf64	Factor1	0.574225
RNA-seq	C1orf64	Factor2	-0.541946
RNA-seq	C1orf64	Factor3	0.051789
RNA-seq	C1orf64	Factor4	0.053737
RNA-seq	C1orf64	Factor5	-0.014789
RNA-seq	GABRP	Factor1	-0.76826
RNA-seq	GABRP	Factor2	-0.250124
RNA-seq	GABRP	Factor3	0.117559
RNA-seq	GABRP	Factor4	0.250037
RNA-seq	GABRP	Factor5	-0.055453
RNA-seq	SOX10	Factor1	-0.655588
RNA-seq	SOX10	Factor2	-0.377512
RNA-seq	SOX10	Factor3	0.116579
RNA-seq	SOX10	Factor4	0.291142
RNA-seq	SOX10	Factor5	-0.018414
RNA-seq	KRT5	Factor1	-0.667028
RNA-seq	KRT5	Factor2	-0.463888
RNA-seq	KRT5	Factor3	0.279348
RNA-seq	KRT5	Factor4	0.27343
RNA-seq	KRT5	Factor5	-0.125874
RNA-seq	MUC5B	Factor1	-0.29792
RNA-seq	MUC5B	Factor2	-0.103529
RNA-seq	MUC5B	Factor3	0.087668
RNA-seq	MUC5B	Factor4	-0.170602
RNA-seq	MUC5B	Factor5	-0.027988
RNA-seq	FABP7	Factor1	-0.6594
RNA-seq	FABP7	Factor2	-0.032437
RNA-seq	FABP7	Factor3	0.152553
RNA-seq	FABP7	Factor4	-0.139263
RNA-seq	FABP7	Factor5	-0.03973
RNA-seq	GSTT1	Factor1	0.0148
RNA-seq	GSTT1	Factor2	-0.102838
RNA-seq	GSTT1	Factor3	-0.025698
RNA-seq	GSTT1	Factor4	0.040686
RNA-seq	GSTT1	Factor5	-0.011151
RNA-seq	LTF	Factor1	-0.261142
RNA-seq	LTF	Factor2	-0.457188
RNA-seq	LTF	Factor3	-0.007193
RNA-seq	LTF	Factor4	-0.457302
RNA-seq	LTF	Factor5	-0.027799
RNA-seq	CRABP1	Factor1	-0.515081
RNA-seq	CRABP1	Factor2	0.003259
RNA-seq	CRABP1	Factor3	-0.01201
RNA-seq	CRABP1	Factor4	-0.008621
RNA-seq	CRABP1	Factor5	0.090357
RNA-seq	KRT6B	Factor1	-0.738372
RNA-seq	KRT6B	Factor2	-0.293966
RNA-seq	KRT6B	Factor3	0.273834
RNA-seq	KRT6B	Factor4	0.266872
RNA-seq	KRT6B	Factor5	-0.16376
RNA-seq	SYT13	Factor1	0.265565
RNA-seq	SYT13	Factor2	0.024565
RNA-seq	SYT13	Factor3	-0.261232
RNA-seq	SYT13	Factor4	0.170756
RNA-seq	SYT13	Factor5	0.015879
RNA-seq	CGA	Factor1	0.389401
RNA-seq	CGA	Factor2	0.157291
RNA-seq	CGA	Factor3	-0.074704
RNA-seq	CGA	Factor4	0.293325
RNA-seq	CGA	Factor5	0.014893
RNA-seq	KLK11	Factor1	-0.300988
RNA-seq	KLK11	Factor2	-0.377495
RNA-seq	KLK11	Factor3	0.08626
RNA-seq	KLK11	Factor4	-0.040919
RNA-seq	KLK11	Factor5	-0.036538
RNA-seq	STAC2	Factor1	-0.611722
RNA-seq	STAC2	Factor2	-0.411141
RNA-seq	STAC2	Factor3	0.211072
RNA-seq	STAC2	Factor4	-0.050177
RNA-seq	STAC2	Factor5	-0.027881
RNA-seq	CEACAM6	Factor1	0.286181
RNA-seq	CEACAM6	Factor2	-0.20881
RNA-seq	CEACAM6	Factor3	-0.054185
RNA-seq	CEACAM6	Factor4	-0.189252
RNA-seq	CEACAM6	Factor5	-0.065148
RNA-seq	HOXB13	Factor1	-0.12551
RNA-seq	HOXB13	Factor2	0.203367
RNA-seq	HOXB13	Factor3	0.224169
RNA-seq	HOXB13	Factor4	-0.091807
RNA-seq	HOXB13	Factor5	0.095978
RNA-seq	SLC5A8	Factor1	-0.000905
RNA-seq	SLC5A8	Factor2	-0.074066
RNA-seq	SLC5A8	Factor3	-0.134444
RNA-seq	SLC5A8	Factor4	-0.140133
RNA-seq	SLC5A8	Factor5	0.040803
RNA-seq	C20orf114	Factor1	0.440238
RNA-seq	C20orf114	Factor2	-0.369174
RNA-seq	C20orf114	Factor3	0.011352
RNA-seq	C20orf114	Factor4	0.077346
RNA-seq	C20orf114	Factor5	-0.024578
RNA-seq	BMPR1B	Factor1	0.405784
RNA-seq	BMPR1B	Factor2	-0.178622
RNA-seq	BMPR1B	Factor3	-0.273602
RNA-seq	BMPR1B	Factor4	0.145678
RNA-seq	BMPR1B	Factor5	-0.064897
RNA-seq	BPIL1	Factor1	0.375297
RNA-seq	BPIL1	Factor2	-0.344482
RNA-seq	BPIL1	Factor3	-0.073127
RNA-seq	BPIL1	Factor4	-0.211725
RNA-seq	BPIL1	Factor5	-0.018588
RNA-seq	PVALB	Factor1	0.384007
RNA-seq	PVALB	Factor2	-0.082664
RNA-seq	PVALB	Factor3	0.128739
RNA-seq	PVALB	Factor4	0.215561
RNA-seq	PVALB	Factor5	0.030114
RNA-seq	CYP4F8	Factor1	0.173676
RNA-seq	CYP4F8	Factor2	-0.37238
RNA-seq	CYP4F8	Factor3	0.09963
RNA-seq	CYP4F8	Factor4	-0.239302
RNA-seq	CYP4F8	Factor5	-0.012919
RNA-seq	NPY1R	Factor1	0.215056
RNA-seq	NPY1R	Factor2	-0.298949
RNA-seq	NPY1R	Factor3	-0.206907
RNA-seq	NPY1R	Factor4	0.332678
RNA-seq	NPY1R	Factor5	-0.003508
RNA-seq	LRP2	Factor1	0.243829
RNA-seq	LRP2	Factor2	-0.328593
RNA-seq	LRP2	Factor3	-0.290224
RNA-seq	LRP2	Factor4	0.23657
RNA-seq	LRP2	Factor5	0.070177
RNA-seq	AGR2	Factor1	0.688384
RNA-seq	AGR2	Factor2	-0.454174
RNA-seq	AGR2	Factor3	0.030163
RNA-seq	AGR2	Factor4	-0.069329
RNA-seq	AGR2	Factor5	-0.026265
RNA-seq	CST9	Factor1	0.487648
RNA-seq	CST9	Factor2	-0.179374
RNA-seq	CST9	Factor3	-0.064998
RNA-seq	CST9	Factor4	0.407358
RNA-seq	CST9	Factor5	-0.045663
RNA-seq	OBP2B	Factor1	-0.296923
RNA-seq	OBP2B	Factor2	-0.280848
RNA-seq	OBP2B	Factor3	0.087111
RNA-seq	OBP2B	Factor4	-0.134378
RNA-seq	OBP2B	Factor5	0.123608
RNA-seq	KCNC2	Factor1	0.327422
RNA-seq	KCNC2	Factor2	-0.214473
RNA-seq	KCNC2	Factor3	-0.229601
RNA-seq	KCNC2	Factor4	0.113696
RNA-seq	KCNC2	Factor5	-0.030889
RNA-seq	TCN1	Factor1	-0.087204
RNA-seq	TCN1	Factor2	-0.478574
RNA-seq	TCN1	Factor3	0.005089
RNA-seq	TCN1	Factor4	-0.010436
RNA-seq	TCN1	Factor5	-0.042252
RNA-seq	MUC16	Factor1	-0.542477
RNA-seq	MUC16	Factor2	-0.024529
RNA-seq	MUC16	Factor3	-0.007604
RNA-seq	MUC16	Factor4	-0.034449
RNA-seq	MUC16	Factor5	-0.071333
RNA-seq	ABCC11	Factor1	0.4292
RNA-seq	ABCC11	Factor2	-0.351201
RNA-seq	ABCC11	Factor3	0.021943
RNA-seq	ABCC11	Factor4	-0.43351
RNA-seq	ABCC11	Factor5	-0.034563
RNA-seq	GFRA1	Factor1	0.540951
RNA-seq	GFRA1	Factor2	-0.389191
RNA-seq	GFRA1	Factor3	-0.02554
RNA-seq	GFRA1	Factor4	0.178272
RNA-seq	GFRA1	Factor5	0.016312
RNA-seq	OLFM4	Factor1	-0.401544
RNA-seq	OLFM4	Factor2	-0.331673
RNA-seq	OLFM4	Factor3	0.143875
RNA-seq	OLFM4	Factor4	-0.002082
RNA-seq	OLFM4	Factor5	-0.006027
RNA-seq	CYP2A6	Factor1	0.250925
RNA-seq	CYP2A6	Factor2	-0.224972
RNA-seq	CYP2A6	Factor3	-0.299149
RNA-seq	CYP2A6	Factor4	-0.012531
RNA-seq	CYP2A6	Factor5	-0.00585
RNA-seq	CP	Factor1	-0.463033
RNA-seq	CP	Factor2	-0.076687
RNA-seq	CP	Factor3	0.055398
RNA-seq	CP	Factor4	-0.261108
RNA-seq	CP	Factor5	-0.007151
RNA-seq	CLCA2	Factor1	-0.173289
RNA-seq	CLCA2	Factor2	-0.372826
RNA-seq	CLCA2	Factor3	0.314478
RNA-seq	CLCA2	Factor4	-0.492244
RNA-seq	CLCA2	Factor5	-0.049498
RNA-seq	FAM5C	Factor1	-0.1563
RNA-seq	FAM5C	Factor2	-0.169445
RNA-seq	FAM5C	Factor3	0.185152
RNA-seq	FAM5C	Factor4	-0.354946
RNA-seq	FAM5C	Factor5	-0.042633
RNA-seq	CRISP3	Factor1	0.119242
RNA-seq	CRISP3	Factor2	-0.025513
RNA-seq	CRISP3	Factor3	0.130823
RNA-seq	CRISP3	Factor4	-0.315731
RNA-seq	CRISP3	Factor5	-0.083187
RNA-seq	KRT81	Factor1	-0.615565
RNA-seq	KRT81	Factor2	-0.134017
RNA-seq	KRT81	Factor3	0.189392
RNA-seq	KRT81	Factor4	0.065551
RNA-seq	KRT81	Factor5	-0.06184
RNA-seq	PGR	Factor1	0.463505
RNA-seq	PGR	Factor2	-0.536292
RNA-seq	PGR	Factor3	-0.207826
RNA-seq	PGR	Factor4	0.106157
RNA-seq	PGR	Factor5	0.020664
RNA-seq	KRT6A	Factor1	-0.646045
RNA-seq	KRT6A	Factor2	0.002524
RNA-seq	KRT6A	Factor3	0.209041
RNA-seq	KRT6A	Factor4	0.089368
RNA-seq	KRT6A	Factor5	-0.175887
RNA-seq	SLC34A2	Factor1	-0.612708
RNA-seq	SLC34A2	Factor2	-0.275991
RNA-seq	SLC34A2	Factor3	0.026215
RNA-seq	SLC34A2	Factor4	-0.045338
RNA-seq	SLC34A2	Factor5	-0.00255
RNA-seq	KLK5	Factor1	-0.669347
RNA-seq	KLK5	Factor2	-0.362831
RNA-seq	KLK5	Factor3	0.241948
RNA-seq	KLK5	Factor4	0.209536
RNA-seq	KLK5	Factor5	-0.10304
RNA-seq	KRT16	Factor1	-0.782628
RNA-seq	KRT16	Factor2	-0.061987
RNA-seq	KRT16	Factor3	0.271498
RNA-seq	KRT16	Factor4	0.082333
RNA-seq	KRT16	Factor5	-0.120493
RNA-seq	PROM1	Factor1	-0.658403
RNA-seq	PROM1	Factor2	-0.202405
RNA-seq	PROM1	Factor3	0.070606
RNA-seq	PROM1	Factor4	-0.029326
RNA-seq	PROM1	Factor5	0.020042
RNA-seq	MUC2	Factor1	0.204135
RNA-seq	MUC2	Factor2	0.021318
RNA-seq	MUC2	Factor3	-0.214248
RNA-seq	MUC2	Factor4	0.006011
RNA-seq	MUC2	Factor5	0.055158
RNA-seq	DSG3	Factor1	-0.639327
RNA-seq	DSG3	Factor2	-0.378944
RNA-seq	DSG3	Factor3	0.20874
RNA-seq	DSG3	Factor4	0.324879
RNA-seq	DSG3	Factor5	-0.117767
RNA-seq	LBP	Factor1	-0.279972
RNA-seq	LBP	Factor2	-0.000764
RNA-seq	LBP	Factor3	0.228061
RNA-seq	LBP	Factor4	-0.481161
RNA-seq	LBP	Factor5	0.047263
RNA-seq	PTPRT	Factor1	0.385057
RNA-seq	PTPRT	Factor2	-0.560355
RNA-seq	PTPRT	Factor3	-0.152004
RNA-seq	PTPRT	Factor4	0.010194
RNA-seq	PTPRT	Factor5	-0.002302
RNA-seq	MSLN	Factor1	-0.556069
RNA-seq	MSLN	Factor2	0.14093
RNA-seq	MSLN	Factor3	0.006315
RNA-seq	MSLN	Factor4	0.077456
RNA-seq	MSLN	Factor5	-0.106573
RNA-seq	CARTPT	Factor1	0.176707
RNA-seq	CARTPT	Factor2	-0.111106
RNA-seq	CARTPT	Factor3	-0.414676
RNA-seq	CARTPT	Factor4	0.03496
RNA-seq	CARTPT	Factor5	-0.009043
RNA-seq	PIGR	Factor1	-0.200419
RNA-seq	PIGR	Factor2	-0.484743
RNA-seq	PIGR	Factor3	0.103713
RNA-seq	PIGR	Factor4	-0.18682
RNA-seq	PIGR	Factor5	0.012344
RNA-seq	KRT17	Factor1	-0.656493
RNA-seq	KRT17	Factor2	-0.458765
RNA-seq	KRT17	Factor3	0.288914
RNA-seq	KRT17	Factor4	0.272027
RNA-seq	KRT17	Factor5	-0.13478
RNA-seq	NLRP2	Factor1	-0.206137
RNA-seq	NLRP2	Factor2	-0.080588
RNA-seq	NLRP2	Factor3	0.068377
RNA-seq	NLRP2	Factor4	0.043568
RNA-seq	NLRP2	Factor5	0.001142
RNA-seq	A2ML1	Factor1	-0.69204
RNA-seq	A2ML1	Factor2	0.302602
RNA-seq	A2ML1	Factor3	0.158514
RNA-seq	A2ML1	Factor4	-0.103508
RNA-seq	A2ML1	Factor5	-0.088436
RNA-seq	CBLN2	Factor1	0.149543
RNA-seq	CBLN2	Factor2	-0.146806
RNA-seq	CBLN2	Factor3	0.015864
RNA-seq	CBLN2	Factor4	0.150503
RNA-seq	CBLN2	Factor5	0.090774
RNA-seq	SLITRK6	Factor1	0.23873
RNA-seq	SLITRK6	Factor2	-0.295793
RNA-seq	SLITRK6	Factor3	-0.172416
RNA-seq	SLITRK6	Factor4	0.087775
RNA-seq	SLITRK6	Factor5	0.050976
RNA-seq	KLK6	Factor1	-0.740805
RNA-seq	KLK6	Factor2	-0.195629
RNA-seq	KLK6	Factor3	0.221199
RNA-seq	KLK6	Factor4	0.140915
RNA-seq	KLK6	Factor5	-0.092231
RNA-seq	SERPINA11	Factor1	0.536495
RNA-seq	SERPINA11	Factor2	-0.469436
RNA-seq	SERPINA11	Factor3	-0.148912
RNA-seq	SERPINA11	Factor4	0.152741
RNA-seq	SERPINA11	Factor5	0.012797
RNA-seq	TUSC5	Factor1	0.009961
RNA-seq	TUSC5	Factor2	-0.413152
RNA-seq	TUSC5	Factor3	0.077413
RNA-seq	TUSC5	Factor4	-0.010916
RNA-seq	TUSC5	Factor5	0.07223
RNA-seq	CST1	Factor1	0.15281
RNA-seq	CST1	Factor2	-0.116671
RNA-seq	CST1	Factor3	0.019138
RNA-seq	CST1	Factor4	-0.015883
RNA-seq	CST1	Factor5	0.001502
RNA-seq	KIF1A	Factor1	-0.395866
RNA-seq	KIF1A	Factor2	0.220831
RNA-seq	KIF1A	Factor3	-0.027466
RNA-seq	KIF1A	Factor4	0.007332
RNA-seq	KIF1A	Factor5	0.094222
RNA-seq	AQP5	Factor1	-0.49507
RNA-seq	AQP5	Factor2	-0.14934
RNA-seq	AQP5	Factor3	-0.120588
RNA-seq	AQP5	Factor4	-0.080852
RNA-seq	AQP5	Factor5	0.040413
RNA-seq	KLK10	Factor1	-0.629339
RNA-seq	KLK10	Factor2	-0.292983
RNA-seq	KLK10	Factor3	0.17265
RNA-seq	KLK10	Factor4	0.114711
RNA-seq	KLK10	Factor5	-0.066542
RNA-seq	ELF5	Factor1	-0.627078
RNA-seq	ELF5	Factor2	-0.0386
RNA-seq	ELF5	Factor3	0.026111
RNA-seq	ELF5	Factor4	-0.031695
RNA-seq	ELF5	Factor5	-0.039855
miRNA	MIMAT0005923	Factor1	-0.034741
miRNA	MIMAT0005923	Factor2	0.28839
miRNA	MIMAT0005923	Factor3	-0.00057
miRNA	MIMAT0005923	Factor4	-0.078523
miRNA	MIMAT0005923	Factor5	-0.177328
miRNA	MIMAT0000454	Factor1	0.088197
miRNA	MIMAT0000454	Factor2	-0.321315
miRNA	MIMAT0000454	Factor3	0.094366
miRNA	MIMAT0000454	Factor4	-0.340727
miRNA	MIMAT0000454	Factor5	-0.013481
miRNA	MIMAT0000226	Factor1	0.003294
miRNA	MIMAT0000226	Factor2	-0.010674
miRNA	MIMAT0000226	Factor3	0.311214
miRNA	MIMAT0000226	Factor4	-0.119734
miRNA	MIMAT0000226	Factor5	0.066508
miRNA	MIMAT0000266	Factor1	-0.20394
miRNA	MIMAT0000266	Factor2	-0.323827
miRNA	MIMAT0000266	Factor3	0.076262
miRNA	MIMAT0000266	Factor4	-0.074488
miRNA	MIMAT0000266	Factor5	-0.017883
miRNA	MIMAT0000262	Factor1	-0.233795
miRNA	MIMAT0000262	Factor2	0.065737
miRNA	MIMAT0000262	Factor3	0.081887
miRNA	MIMAT0000262	Factor4	-0.339561
miRNA	MIMAT0000262	Factor5	-0.153895
miRNA	MIMAT0000728	Factor1	0.497936
miRNA	MIMAT0000728	Factor2	-0.143716
miRNA	MIMAT0000728	Factor3	-0.085543
miRNA	MIMAT0000728	Factor4	-0.100251
miRNA	MIMAT0000728	Factor5	-0.106793
miRNA	MIMAT0000267	Factor1	-0.111467
miRNA	MIMAT0000267	Factor2	0.531193
miRNA	MIMAT0000267	Factor3	-0.076234
miRNA	MIMAT0000267	Factor4	-0.094607
miRNA	MIMAT0000267	Factor5	-0.136106
miRNA	MIMAT0000441	Factor1	-0.337561
miRNA	MIMAT0000441	Factor2	0.368188
miRNA	MIMAT0000441	Factor3	0.003791
miRNA	MIMAT0000441	Factor4	0.036983
miRNA	MIMAT0000441	Factor5	-0.009709
miRNA	MIMAT0019814	Factor1	-0.266634
miRNA	MIMAT0019814	Factor2	0.069757
miRNA	MIMAT0019814	Factor3	0.100603
miRNA	MIMAT0019814	Factor4	-0.106614
miRNA	MIMAT0019814	Factor5	0.001911
miRNA	MIMAT0000102	Factor1	-0.29441
miRNA	MIMAT0000102	Factor2	0.278914
miRNA	MIMAT0000102	Factor3	0.009224
miRNA	MIMAT0000102	Factor4	-0.089154
miRNA	MIMAT0000102	Factor5	-0.198188
miRNA	MIMAT0000281	Factor1	-0.488458
miRNA	MIMAT0000281	Factor2	0.285582
miRNA	MIMAT0000281	Factor3	0.079368
miRNA	MIMAT0000281	Factor4	-0.262625
miRNA	MIMAT0000281	Factor5	-0.044382
miRNA	MIMAT0000264	Factor1	-0.240037
miRNA	MIMAT0000264	Factor2	0.011211
miRNA	MIMAT0000264	Factor3	0.330054
miRNA	MIMAT0000264	Factor4	-0.054012
miRNA	MIMAT0000264	Factor5	0.002588
miRNA	MIMAT0000758	Factor1	-0.616918
miRNA	MIMAT0000758	Factor2	0.239907
miRNA	MIMAT0000758	Factor3	0.006021
miRNA	MIMAT0000758	Factor4	0.116009
miRNA	MIMAT0000758	Factor5	0.010187
miRNA	MIMAT0000451	Factor1	-0.288458
miRNA	MIMAT0000451	Factor2	-0.119394
miRNA	MIMAT0000451	Factor3	-0.024654
miRNA	MIMAT0000451	Factor4	-0.07917
miRNA	MIMAT0000451	Factor5	0.118578
miRNA	MIMAT0026480	Factor1	0.194509
miRNA	MIMAT0026480	Factor2	0.056541
miRNA	MIMAT0026480	Factor3	-0.299848
miRNA	MIMAT0026480	Factor4	-0.019176
miRNA	MIMAT0026480	Factor5	0.010044
miRNA	MIMAT0000450	Factor1	0.365176
miRNA	MIMAT0000450	Factor2	0.14454
miRNA	MIMAT0000450	Factor3	-0.009662
miRNA	MIMAT0000450	Factor4	0.176961
miRNA	MIMAT0000450	Factor5	-0.084051
miRNA	MIMAT0017985	Factor1	0.087433
miRNA	MIMAT0017985	Factor2	0.184282
miRNA	MIMAT0017985	Factor3	-0.193489
miRNA	MIMAT0017985	Factor4	-0.021846
miRNA	MIMAT0017985	Factor5	-0.030216
miRNA	MIMAT0003242	Factor1	-0.617445
miRNA	MIMAT0003242	Factor2	0.351376
miRNA	MIMAT0003242	Factor3	-0.057567
miRNA	MIMAT0003242	Factor4	0.091847
miRNA	MIMAT0003242	Factor5	0.000722
miRNA	MIMAT0001635	Factor1	-0.554196
miRNA	MIMAT0001635	Factor2	0.13704
miRNA	MIMAT0001635	Factor3	0.163537
miRNA	MIMAT0001635	Factor4	-0.24093
miRNA	MIMAT0001635	Factor5	0.001696
miRNA	MIMAT0004784	Factor1	-0.348465
miRNA	MIMAT0004784	Factor2	0.406414
miRNA	MIMAT0004784	Factor3	-0.178967
miRNA	MIMAT0004784	Factor4	-0.05121
miRNA	MIMAT0004784	Factor5	-0.012017
miRNA	MIMAT0003882	Factor1	-0.271715
miRNA	MIMAT0003882	Factor2	0.236792
miRNA	MIMAT0003882	Factor3	0.031478
miRNA	MIMAT0003882	Factor4	-0.093371
miRNA	MIMAT0003882	Factor5	-0.211359
miRNA	MIMAT0022721	Factor1	-0.129441
miRNA	MIMAT0022721	Factor2	-0.259824
miRNA	MIMAT0022721	Factor3	0.013685
miRNA	MIMAT0022721	Factor4	-0.012133
miRNA	MIMAT0022721	Factor5	0.114287
miRNA	MIMAT0001541	Factor1	0.182249
miRNA	MIMAT0001541	Factor2	-0.066957
miRNA	MIMAT0001541	Factor3	0.036287
miRNA	MIMAT0001541	Factor4	-0.101687
miRNA	MIMAT0001541	Factor5	-0.006645
miRNA	MIMAT0004929	Factor1	0.599052
miRNA	MIMAT0004929	Factor2	-0.204713
miRNA	MIMAT0004929	Factor3	-0.076544
miRNA	MIMAT0004929	Factor4	0.092464
miRNA	MIMAT0004929	Factor5	-0.00131
miRNA	MIMAT0000434	Factor1	-0.258658
miRNA	MIMAT0000434	Factor2	0.227538
miRNA	MIMAT0000434	Factor3	-0.157536
miRNA	MIMAT0000434	Factor4	-0.15877
miRNA	MIMAT0000434	Factor5	0.038189
miRNA	MIMAT0001413	Factor1	0.016177
miRNA	MIMAT0001413	Factor2	0.062604
miRNA	MIMAT0001413	Factor3	0.040317
miRNA	MIMAT0001413	Factor4	-0.253285
miRNA	MIMAT0001413	Factor5	-0.008425
miRNA	MIMAT0006790	Factor1	-0.081151
miRNA	MIMAT0006790	Factor2	0.000424
miRNA	MIMAT0006790	Factor3	-0.097025
miRNA	MIMAT0006790	Factor4	-0.036045
miRNA	MIMAT0006790	Factor5	-0.036927
miRNA	MIMAT0004809	Factor1	0.02973
miRNA	MIMAT0004809	Factor2	0.209729
miRNA	MIMAT0004809	Factor3	-0.236913
miRNA	MIMAT0004809	Factor4	-0.094855
miRNA	MIMAT0004809	Factor5	-0.026471
miRNA	MIMAT0022472	Factor1	-0.120159
miRNA	MIMAT0022472	Factor2	-0.263181
miRNA	MIMAT0022472	Factor3	0.161105
miRNA	MIMAT0022472	Factor4	0.038514
miRNA	MIMAT0022472	Factor5	0.091542
miRNA	MIMAT0025477	Factor1	-0.324789
miRNA	MIMAT0025477	Factor2	-0.136272
miRNA	MIMAT0025477	Factor3	-0.009947
miRNA	MIMAT0025477	Factor4	0.101368
miRNA	MIMAT0025477	Factor5	-0.01713
